time,amplitude
3.086172344689378511e-01,9.943502824858755362e-01
3.106212424849699172e-01,9.943502824858756473e-01
3.126252505010019833e-01,9.943502824858758693e-01
3.146292585170340494e-01,9.943502824858757583e-01
3.166332665330661156e-01,9.943502824858755362e-01
3.186372745490981817e-01,9.943502824858758693e-01
3.206412825651302478e-01,9.943502824858759803e-01
3.226452905811623140e-01,9.943502824858757583e-01
3.246492985971943801e-01,9.943502824858756473e-01
3.266533066132264462e-01,9.943502824858756473e-01
3.286573146292585124e-01,9.943502824858759803e-01
3.306613226452905785e-01,9.943502824858756473e-01
3.326653306613226446e-01,9.943502824858759803e-01
3.346693386773546552e-01,9.943502824858775346e-01
3.366733466933867214e-01,9.943502824858579947e-01
3.386773547094187875e-01,9.943502824859765665e-01
3.406813627254508536e-01,9.943502824854527633e-01
3.426853707414829198e-01,9.943502824870928958e-01
3.446893787575149859e-01,9.943502824854673072e-01
3.466933867735470520e-01,9.943502824604636414e-01
3.486973947895791182e-01,9.943502826930394889e-01
3.507014028056111843e-01,9.943502814061639938e-01
3.527054108216432504e-01,9.943502866545165242e-01
3.547094188376753165e-01,9.943502723419680445e-01
3.567134268537073827e-01,9.943502699023460956e-01
3.587174348697394488e-01,9.943506205268355380e-01
3.607214428857715149e-01,9.943479275193672917e-01
3.627254509018035811e-01,9.943615984636816618e-01
3.647294589178356472e-01,9.943103126152976756e-01
3.667334669338677133e-01,9.944253670170111192e-01
3.687374749498997795e-01,9.946673605214777503e-01
3.707414829659318456e-01,9.898360137885400256e-01
3.727454909819639117e-01,9.812911714225458493e-01
3.747494989979959779e-01,9.831427859429295868e-01
3.767535070140280440e-01,9.789404758827893183e-01
3.787575150300601101e-01,9.906491891206787859e-01
3.807615230460921762e-01,9.345365442730342309e-01
3.827655310621242424e-01,1.002407119942999802e+00
3.847695390781562530e-01,9.922086647775888446e-01
3.867735470941883191e-01,9.947717526982162717e-01
3.887775551102203853e-01,9.942957685494306919e-01
3.907815631262524514e-01,9.943504189455161235e-01
3.927855711422845175e-01,9.943525438205625955e-01
3.947895791583165837e-01,9.943495003537390353e-01
