time,amplitude
0.000000000000000000e+00,9.133333333333333304e-01
3.717472118959107633e-03,9.133333333333333304e-01
7.434944237918215265e-03,9.133333333333333304e-01
1.115241635687732290e-02,9.133333333333333304e-01
1.486988847583643053e-02,9.133333333333333304e-01
1.858736059479553990e-02,9.200000000000000400e-01
2.230483271375464580e-02,9.266666666666666385e-01
2.602230483271375516e-02,9.333333333333333481e-01
2.973977695167286106e-02,9.466666666666666563e-01
3.345724907063196696e-02,9.533333333333333659e-01
3.717472118959107980e-02,9.599999999999999645e-01
4.089219330855018569e-02,9.599999999999999645e-01
4.460966542750929159e-02,9.599999999999999645e-01
4.832713754646840443e-02,9.599999999999999645e-01
5.204460966542751033e-02,9.599999999999999645e-01
5.576208178438661622e-02,9.533333333333333659e-01
5.947955390334572212e-02,9.466666666666666563e-01
6.319702602230482802e-02,9.399999999999999467e-01
6.691449814126393392e-02,9.333333333333333481e-01
7.063197026022305369e-02,9.266666666666666385e-01
7.434944237918215959e-02,9.200000000000000400e-01
7.806691449814126549e-02,9.200000000000000400e-01
8.178438661710037139e-02,9.200000000000000400e-01
8.550185873605947728e-02,9.200000000000000400e-01
8.921933085501858318e-02,9.200000000000000400e-01
9.293680297397768908e-02,9.266666666666666385e-01
9.665427509293680886e-02,9.266666666666666385e-01
1.003717472118959148e-01,9.266666666666666385e-01
1.040892193308550207e-01,9.266666666666666385e-01
1.078066914498141265e-01,9.266666666666666385e-01
1.115241635687732324e-01,9.266666666666666385e-01
1.152416356877323383e-01,9.200000000000000400e-01
1.189591078066914442e-01,9.200000000000000400e-01
1.226765799256505640e-01,9.200000000000000400e-01
1.263940520446096560e-01,9.200000000000000400e-01
1.301115241635687758e-01,9.133333333333333304e-01
1.338289962825278678e-01,9.133333333333333304e-01
1.375464684014869876e-01,9.133333333333333304e-01
1.412639405204461074e-01,9.133333333333333304e-01
1.449814126394051994e-01,9.133333333333333304e-01
1.486988847583643192e-01,9.133333333333333304e-01
1.524163568773234112e-01,9.133333333333333304e-01
1.561338289962825310e-01,9.133333333333333304e-01
1.598513011152416230e-01,9.133333333333333304e-01
1.635687732342007428e-01,9.133333333333333304e-01
1.672862453531598625e-01,9.133333333333333304e-01
1.710037174721189546e-01,9.200000000000000400e-01
1.747211895910780743e-01,9.200000000000000400e-01
1.784386617100371664e-01,9.200000000000000400e-01
1.821561338289962861e-01,9.200000000000000400e-01
1.858736059479553782e-01,9.200000000000000400e-01
1.895910780669144979e-01,9.200000000000000400e-01
1.933085501858736177e-01,9.200000000000000400e-01
1.970260223048327097e-01,9.133333333333333304e-01
2.007434944237918295e-01,9.133333333333333304e-01
2.044609665427509215e-01,9.133333333333333304e-01
2.081784386617100413e-01,9.133333333333333304e-01
2.118959107806691333e-01,9.533333333333333659e-01
2.156133828996282531e-01,9.933333333333332904e-01
2.193308550185873729e-01,9.933333333333332904e-01
2.230483271375464649e-01,9.933333333333332904e-01
2.267657992565055847e-01,9.866666666666666918e-01
2.304832713754646767e-01,9.533333333333333659e-01
2.342007434944237965e-01,9.133333333333333304e-01
2.379182156133828885e-01,9.066666666666666208e-01
2.416356877323420083e-01,9.133333333333333304e-01
2.453531598513011280e-01,9.133333333333333304e-01
2.490706319702602201e-01,9.133333333333333304e-01
2.527881040892193121e-01,9.133333333333333304e-01
2.565055762081784319e-01,9.133333333333333304e-01
2.602230483271375516e-01,9.133333333333333304e-01
2.639405204460966714e-01,9.133333333333333304e-01
2.676579925650557357e-01,9.133333333333333304e-01
2.713754646840148554e-01,9.200000000000000400e-01
2.750929368029739752e-01,9.266666666666666385e-01
2.788104089219330950e-01,9.399999999999999467e-01
2.825278810408922148e-01,9.466666666666666563e-01
2.862453531598512790e-01,9.533333333333333659e-01
2.899628252788103988e-01,9.599999999999999645e-01
2.936802973977695186e-01,9.599999999999999645e-01
2.973977695167286384e-01,9.599999999999999645e-01
3.011152416356877581e-01,9.599999999999999645e-01
3.048327137546468224e-01,9.599999999999999645e-01
